Name,Age,Annual_Income,Purchase_Car
Person_10,30,601896,Yes
Person_43,21,578480,Yes
Person_34,40,898376,Yes
Person_312,22,354162,No
Person_273,29,377738,No
Person_378,51,265726,No
Person_56,23,1326081,Yes
Person_269,38,359403,No
Person_246,20,427897,No
Person_114,20,1321567,Yes
Person_266,32,301642,No
Person_154,32,1279600,Yes
Person_77,34,316381,Yes
Person_203,52,274899,No
Person_279,30,288727,No
Person_272,35,316044,No
Person_94,47,887995,Yes
Person_16,41,1256731,Yes
Person_125,51,779036,Yes
Person_232,44,336744,No
Person_1,58,251663,Yes
Person_195,25,1268632,Yes
Person_368,52,281565,No
Person_182,38,1256884,Yes
Person_79,44,1399386,Yes
Person_132,58,680761,Yes
Person_127,51,1398838,Yes
Person_254,48,265726,No
Person_245,26,319777,No
Person_380,20,409334,No
Person_379,21,379622,No
Person_47,27,384423,Yes
Person_224,42,265726,No
Person_73,43,307450,Yes
Person_282,21,365105,No
Person_78,20,334508,Yes
Person_348,35,273779,No
Person_26,44,857409,Yes
Person_109,20,713758,Yes
Person_166,51,649395,Yes
Person_141,21,1280673,Yes
Person_321,42,289267,No
Person_91,52,1331565,Yes
Person_352,21,423236,No
Person_302,58,272401,No
Person_40,33,588215,Yes
Person_57,48,202869,Yes
Person_371,20,425158,No
Person_149,44,905086,Yes
Person_119,46,1424665,Yes
Person_117,33,1305534,Yes
Person_369,31,309177,No
Person_58,37,981474,Yes
Person_23,52,307512,Yes
Person_32,56,1441082,Yes
Person_83,20,1079611,Yes
Person_156,58,1318889,Yes
Person_319,31,321352,No
Person_74,45,371890,Yes
Person_31,22,317796,No
Person_181,20,1280793,Yes
Person_328,51,266447,No
Person_327,20,427897,No
Person_256,22,382792,No
Person_173,36,1343052,Yes
Person_138,26,648982,Yes
Person_6,58,1110681,Yes
Person_46,26,701157,Yes
Person_115,24,1252590,Yes
Person_238,38,301520,No
Person_370,32,293374,No
Person_376,35,346440,No
Person_111,56,1217703,Yes
Person_382,59,279688,No
Person_4,27,1382459,Yes
Person_19,49,754594,Yes
Person_95,26,611927,Yes
Person_339,37,292094,No
Person_292,27,378782,No
Person_64,50,1236685,Yes
Person_240,46,291140,No
Person_354,34,308784,No
Person_220,20,384811,No
Person_85,43,929903,Yes
Person_226,21,370048,No
Person_239,48,265726,No
Person_140,47,606619,Yes
Person_313,34,374085,No
Person_183,21,383062,Yes
Person_362,24,390201,No
Person_364,29,289889,No
Person_249,59,268230,No
Person_209,31,304840,No
Person_76,48,481974,Yes
Person_102,43,341564,Yes
Person_105,59,454079,Yes
Person_17,21,1025816,Yes
Person_67,33,1307447,Yes
Person_159,46,1362208,Yes
Person_8,42,858271,Yes
Person_20,57,347718,Yes
Person_288,49,271187,No
Person_346,33,297927,No
Person_340,23,414101,No
Person_387,21,310413,No
Person_177,42,1070045,Yes
Person_285,25,377946,No
Person_377,37,303219,No
Person_290,29,397134,No
Person_61,29,818467,Yes
Person_80,26,1040477,Yes
Person_278,44,265726,No
Person_133,34,1497286,Yes
Person_247,48,325543,No
Person_153,46,1174165,Yes
Person_110,54,1183609,Yes
Person_18,43,574705,Yes
Person_164,34,1171525,Yes
Person_25,41,573616,Yes
Person_176,47,1229225,Yes
Person_342,20,427897,No
Person_146,49,318834,Yes
Person_298,42,276202,No
Person_259,41,338273,No
Person_211,25,383527,No
Person_174,21,1482417,Yes
Person_318,39,296350,No
Person_386,41,265726,No
Person_142,25,1196161,Yes
Person_234,34,330134,No
Person_343,26,296298,No
Person_120,28,397392,No
Person_325,30,352227,No
Person_197,30,387628,Yes
Person_169,58,1460386,Yes
Person_158,27,661243,Yes
Person_300,50,271569,No
Person_37,37,898002,Yes
Person_284,28,411080,No
Person_151,52,255609,Yes
Person_385,58,265726,No
Person_229,25,349809,No
Person_60,53,836584,Yes
Person_112,33,645101,Yes
Person_178,56,422866,Yes
Person_168,31,662894,Yes
Person_7,38,342483,Yes
Person_281,27,362798,No
Person_286,41,265726,No
Person_11,43,284896,Yes
Person_250,29,296305,No
Person_104,54,318015,Yes
Person_82,43,1246811,Yes
Person_199,52,573632,Yes
Person_233,41,333562,No
Person_287,42,294528,No
Person_333,26,353285,No
Person_322,37,316803,No
Person_366,28,365490,No
Person_90,54,1136093,Yes
Person_193,24,729525,Yes
Person_148,47,1301497,Yes
Person_221,25,405636,No
Person_93,58,378274,Yes
Person_70,40,639430,Yes
Person_124,32,567654,Yes
Person_97,27,331373,Yes
Person_144,47,849150,Yes
Person_365,45,327978,No
Person_98,31,315294,Yes
Person_223,44,337995,No
Person_69,59,328391,Yes
Person_24,31,347443,Yes
Person_38,23,790978,Yes
Person_145,39,1478805,Yes
Person_123,45,698863,Yes
Person_68,42,1139903,Yes
Person_267,20,426826,No
Person_210,50,273796,No
Person_212,26,408816,No
Person_326,32,352706,No
Person_306,21,399494,No
Person_126,58,730089,Yes
Person_147,30,1342424,Yes
Person_228,59,265726,No
Person_87,36,1174339,Yes
Person_361,29,359794,No
Person_219,20,427897,No
Person_330,23,371410,No
Person_194,53,1232751,Yes
Person_251,22,419973,No
Person_295,55,276723,No
Person_184,45,594366,Yes
Person_196,41,376615,Yes
Person_276,32,327662,No
Person_204,28,390518,No
Person_275,36,319475,No
Person_130,56,864076,Yes
Person_39,44,1107317,Yes
Person_12,55,677095,Yes
Person_263,39,282552,No
Person_186,25,300235,Yes
Person_317,36,311042,No
Person_113,22,236631,Yes
Person_180,52,228251,Yes
Person_262,30,393156,No
Person_363,36,265726,No
Person_118,58,1330650,Yes
Person_359,46,329032,No
Person_350,39,286388,No
Person_375,21,390267,No
Person_372,20,394203,No
Person_353,22,404006,No
Person_165,51,389407,Yes
Person_351,58,265726,No
Person_137,51,1486125,Yes
Person_155,22,1225715,Yes
Person_200,28,1382991,Yes
Person_198,35,838836,Yes
Person_383,26,405510,No
Person_3,34,511955,Yes
Person_205,47,266654,No
Person_116,45,1266646,Yes
Person_367,54,265726,No
Person_230,48,317914,No
Person_27,46,886976,Yes
Person_121,34,358823,Yes
Person_299,21,410037,No
Person_225,22,329923,No
Person_235,39,357964,No
Person_308,22,427897,No
Person_336,35,314187,No
Person_128,23,435362,Yes
Person_75,44,638741,Yes
Person_315,34,286672,No
Person_30,34,1007364,Yes
Person_84,27,1420412,Yes
Person_323,33,310400,No
Person_108,54,888105,Yes
Person_335,21,424357,No
Person_248,27,386447,No
Person_134,48,420984,Yes
Person_185,51,944840,Yes
Person_283,39,355334,No
Person_45,47,991971,Yes
Person_358,35,303007,No
Person_66,27,680047,Yes
Person_293,24,351799,No
Person_86,30,245714,Yes
Person_243,21,401512,No
Person_187,51,1323316,Yes
Person_71,35,1217026,Yes
Person_160,28,1197639,Yes
Person_13,59,271295,No
