,Name,Age,Annual_Income,Purchase_Car
0,Person_10,30,601896,Yes
1,Person_43,21,578480,Yes
2,Person_34,40,898376,Yes
3,Person_312,22,354162,No
4,Person_273,29,377738,No
5,Person_378,51,265726,No
6,Person_56,23,1326081,Yes
7,Person_269,38,359403,No
8,Person_246,20,427897,No
9,Person_114,20,1321567,Yes
10,Person_266,32,301642,No
11,Person_154,32,1279600,Yes
12,Person_77,34,316381,Yes
13,Person_203,52,274899,No
14,Person_279,30,288727,No
15,Person_272,35,316044,No
16,Person_94,47,887995,Yes
17,Person_16,41,1256731,Yes
18,Person_125,51,779036,Yes
19,Person_232,44,336744,No
20,Person_1,58,251663,Yes
21,Person_195,25,1268632,Yes
22,Person_368,52,281565,No
23,Person_182,38,1256884,Yes
24,Person_79,44,1399386,Yes
25,Person_132,58,680761,Yes
26,Person_127,51,1398838,Yes
27,Person_254,48,265726,No
28,Person_245,26,319777,No
29,Person_380,20,409334,No
30,Person_379,21,379622,No
31,Person_47,27,384423,Yes
32,Person_224,42,265726,No
33,Person_73,43,307450,Yes
34,Person_282,21,365105,No
35,Person_78,20,334508,Yes
36,Person_348,35,273779,No
37,Person_26,44,857409,Yes
38,Person_109,20,713758,Yes
39,Person_166,51,649395,Yes
40,Person_141,21,1280673,Yes
41,Person_321,42,289267,No
42,Person_91,52,1331565,Yes
43,Person_352,21,423236,No
44,Person_302,58,272401,No
45,Person_40,33,588215,Yes
46,Person_57,48,202869,Yes
47,Person_371,20,425158,No
48,Person_149,44,905086,Yes
49,Person_119,46,1424665,Yes
50,Person_117,33,1305534,Yes
51,Person_369,31,309177,No
52,Person_58,37,981474,Yes
53,Person_23,52,307512,Yes
54,Person_32,56,1441082,Yes
55,Person_83,20,1079611,Yes
56,Person_156,58,1318889,Yes
57,Person_319,31,321352,No
58,Person_74,45,371890,Yes
59,Person_31,22,317796,No
60,Person_181,20,1280793,Yes
61,Person_328,51,266447,No
62,Person_327,20,427897,No
63,Person_256,22,382792,No
64,Person_173,36,1343052,Yes
65,Person_138,26,648982,Yes
66,Person_6,58,1110681,Yes
67,Person_46,26,701157,Yes
68,Person_115,24,1252590,Yes
69,Person_238,38,301520,No
70,Person_370,32,293374,No
71,Person_376,35,346440,No
72,Person_111,56,1217703,Yes
73,Person_382,59,279688,No
74,Person_4,27,1382459,Yes
75,Person_19,49,754594,Yes
76,Person_95,26,611927,Yes
77,Person_339,37,292094,No
78,Person_292,27,378782,No
79,Person_64,50,1236685,Yes
80,Person_240,46,291140,No
81,Person_354,34,308784,No
82,Person_220,20,384811,No
83,Person_85,43,929903,Yes
84,Person_226,21,370048,No
85,Person_239,48,265726,No
86,Person_140,47,606619,Yes
87,Person_313,34,374085,No
88,Person_183,21,383062,Yes
89,Person_362,24,390201,No
90,Person_364,29,289889,No
91,Person_249,59,268230,No
92,Person_209,31,304840,No
93,Person_76,48,481974,Yes
94,Person_102,43,341564,Yes
95,Person_105,59,454079,Yes
96,Person_17,21,1025816,Yes
97,Person_67,33,1307447,Yes
98,Person_159,46,1362208,Yes
99,Person_8,42,858271,Yes
100,Person_20,57,347718,Yes
101,Person_288,49,271187,No
102,Person_346,33,297927,No
103,Person_340,23,414101,No
104,Person_387,21,310413,No
105,Person_177,42,1070045,Yes
106,Person_285,25,377946,No
107,Person_377,37,303219,No
108,Person_290,29,397134,No
109,Person_61,29,818467,Yes
110,Person_80,26,1040477,Yes
111,Person_278,44,265726,No
112,Person_133,34,1497286,Yes
113,Person_247,48,325543,No
114,Person_153,46,1174165,Yes
115,Person_110,54,1183609,Yes
116,Person_18,43,574705,Yes
117,Person_164,34,1171525,Yes
118,Person_25,41,573616,Yes
119,Person_176,47,1229225,Yes
120,Person_342,20,427897,No
121,Person_146,49,318834,Yes
122,Person_298,42,276202,No
123,Person_259,41,338273,No
124,Person_211,25,383527,No
125,Person_174,21,1482417,Yes
126,Person_318,39,296350,No
127,Person_386,41,265726,No
128,Person_142,25,1196161,Yes
129,Person_234,34,330134,No
130,Person_343,26,296298,No
131,Person_120,28,397392,No
132,Person_325,30,352227,No
133,Person_197,30,387628,Yes
134,Person_169,58,1460386,Yes
135,Person_158,27,661243,Yes
136,Person_300,50,271569,No
137,Person_37,37,898002,Yes
138,Person_284,28,411080,No
139,Person_151,52,255609,Yes
140,Person_385,58,265726,No
141,Person_229,25,349809,No
142,Person_60,53,836584,Yes
143,Person_112,33,645101,Yes
144,Person_178,56,422866,Yes
145,Person_168,31,662894,Yes
146,Person_7,38,342483,Yes
147,Person_281,27,362798,No
148,Person_286,41,265726,No
149,Person_11,43,284896,Yes
150,Person_250,29,296305,No
151,Person_104,54,318015,Yes
152,Person_82,43,1246811,Yes
153,Person_199,52,573632,Yes
154,Person_233,41,333562,No
155,Person_287,42,294528,No
156,Person_333,26,353285,No
157,Person_322,37,316803,No
158,Person_366,28,365490,No
159,Person_90,54,1136093,Yes
160,Person_193,24,729525,Yes
161,Person_148,47,1301497,Yes
162,Person_221,25,405636,No
163,Person_93,58,378274,Yes
164,Person_70,40,639430,Yes
165,Person_124,32,567654,Yes
166,Person_97,27,331373,Yes
167,Person_144,47,849150,Yes
168,Person_365,45,327978,No
169,Person_98,31,315294,Yes
170,Person_223,44,337995,No
171,Person_69,59,328391,Yes
172,Person_24,31,347443,Yes
173,Person_38,23,790978,Yes
174,Person_145,39,1478805,Yes
175,Person_123,45,698863,Yes
176,Person_68,42,1139903,Yes
177,Person_267,20,426826,No
178,Person_210,50,273796,No
179,Person_212,26,408816,No
180,Person_326,32,352706,No
181,Person_306,21,399494,No
182,Person_126,58,730089,Yes
183,Person_147,30,1342424,Yes
184,Person_228,59,265726,No
185,Person_87,36,1174339,Yes
